Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Angola,85.66,91.12,44.92,11.87,,,,,,,51.74,18.61,10.71,6.61,9.92,10.42,12.98,36.05,42.3165,40.14,44.39,48.29,47.51,31.37,46.15,38.18
Benin,53.76,22.9,24.01,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,51.78,52.42,43.53,27.33,79.92,76.99,57.18,100.07,131.09,98.71,78.05,,,,,,,,,,,,225.64,201.97,239.25,234.79
Brazil,34.85,27.49,27.59,35.54,85.43,97.5,69.78,77.86,77.75,56.93,41.53,19.35,19.99,31.61,34.85,46.47,62.03,78.94,91.58,73.42,74.22,105.29,104.4,85.29,81.16,73.54
Burundi,,,47.16,41.8,41.45,42.34,40.45,40.19,35.36,,,,,,,,,,,,,,,,,
Cameroon,28.33,25.01,24.25,17.4,29.85,52.08,51.02,38.9,36.46,31.3,30.44,21.13,16.05,22.26,,,,55.13,52.54,37.74,,,,66.43,,
Central African Republic,36.75,36.64,33.93,23.89,32.74,57.19,45.07,38.36,37.86,29.71,18.28,13.22,11.94,18.06,20.17,,,45.34,45.69,43.59,51.4,72.72,68.73,,,40.03
Colombia,69.52,67.13,54.57,50.12,85.99,99.62,93.56,133.17,102.08,86.38,74.96,57.95,52.57,48.34,60.83,89.22,89.81,100.05,114.22,138.96,180.55,239.68,166.69,113.91,159.71,119.4
"Congo, Dem. Rep. of",4.52,,,,,28.35,32.89,45.36,44.28,88.18,45.04,7.95,2.96,5.61,,,,,,,,,,,,
Costa Rica,58.49,52.73,49.91,54.27,81.36,88.23,92.78,98.26,92.66,79.55,69.28,46.69,46.74,52.99,64.87,83.43,89.22,98.64,106.17,106.88,139.86,180.22,173.68,,,
Côte d'Ivoire,33.41,32.27,31.76,27.7,29.78,59.4,57.7,39.29,40.14,38.81,23.85,,8.96,17.71,14.77,11.23,27.99,32.84,51.86,37.52,22.49,28.4,46.29,56.94,56.97,49.87
Cuba,171.43,171.43,180,188.57,203.53,188.6,188.57,188.57,188.57,188.57,188.57,188.57,188.57,168.93,70.18,70.71,70.71,47.14,70.71,70.71,70.71,47.14,70.71,163.04,235.71,235.71
Dominican Republic,66.06,62.64,46.56,53.12,112.26,109.26,87.67,166.41,95.25,74.18,68.01,42.04,50.83,49.57,75.7,87.92,86.29,87.13,101.45,106.04,139.13,191.07,147.81,140.98,183.53,170.98
Ecuador,19.06,17.84,23.31,19.52,63.29,143.62,97.51,61.19,66.63,47.48,32.7,11.26,12,21.86,29.75,50.96,53.73,64.9,79.26,77.99,80.55,95.26,95.12,76.4,46.47,
El Salvador,50.56,44.54,30.91,35.35,99.26,100.51,75.02,125.14,85.05,56.92,44.55,17.63,21.84,25.69,39.3,67.1,67.49,75.24,86.05,79.19,109.88,186.74,120.12,95.28,117.01,87.45
Ethiopia,61.09,68.19,61.21,61.72,109.55,115.02,67.74,91.06,91.86,65.64,56.42,43.78,26.88,34.57,48.85,64.23,58.32,69.83,71.71,77.06,85.46,145.46,102.79,75.98,,
Gabon,43.43,43.58,51.52,48.11,27.76,40.92,39.91,37.9,50.26,59.01,51.11,47.93,44.58,,,,,,,91.96,82.58,88.92,88.9,91.84,91.89,77.07
Guatemala,54.58,57.53,40.23,41.43,75.32,99.34,83.77,97.25,102.45,79.24,70.37,45.35,49.61,48.42,66.91,92.46,91.19,98.31,111.03,109.64,144.77,212.41,165.98,127.06,152.83,139.22
Guinea,34.37,30.25,23.75,27.47,61.33,92.26,,,,,,,,,,,,,,,,,,,,
Haiti,41.28,23.99,8.75,14.49,25.87,36.3,28.14,29.37,30.95,22.9,22.49,,,,,,,,,,,,,,,
Honduras,50.35,56.12,40.14,37.54,81.57,102.55,67.66,116.88,93.26,61.48,54.29,34.32,37.06,41.73,50.23,78.69,80.82,81.63,90.56,83.72,125.16,200.18,145.28,109.57,132.26,128.77
